,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,r2_score,slope,res_sqsum,i_index,j_index
1555,54765.0,54769.0,54771.0,54766.0,54761.0,54763.0,54759.0,54772.0,54769.0,54772.0,54761.0,54767.0,54777.0,54767.0,54768.0,54779.0,54765.0,54767.0,54766.0,54771.0,54770.0,54768.0,54761.0,54767.0,54767.0,54774.0,54757.0,54765.0,54762.0,54761.0,54770.0,54767.0,54769.0,54768.0,54771.0,54761.0,54766.0,54754.0,54769.0,54763.0,54772.0,54763.0,54772.0,54766.0,54764.0,54774.0,54763.0,54770.0,54769.0,54768.0,54764.0,54767.0,54767.0,54769.0,54774.0,54758.0,0.001643764718931684,-0.0121326042378674,1307.9714627476096,38.0,34.0
1556,54882.0,54878.0,54881.0,54874.0,54883.0,54882.0,54875.0,54881.0,54880.0,54881.0,54881.0,54884.0,54877.0,54882.0,54879.0,54877.0,54886.0,54877.0,54887.0,54873.0,54879.0,54883.0,54884.0,54870.0,54877.0,54874.0,54871.0,54880.0,54884.0,54866.0,54880.0,54877.0,54877.0,54877.0,54882.0,54878.0,54869.0,54872.0,54877.0,54891.0,54879.0,54885.0,54880.0,54883.0,54890.0,54883.0,54874.0,54873.0,54889.0,54886.0,54873.0,54881.0,54887.0,54890.0,54889.0,54882.0,0.03221770494737686,0.06138072453861927,1655.7372522214596,38.0,35.0
1557,54641.0,54645.0,54645.0,54641.0,54638.0,54634.0,54635.0,54641.0,54644.0,54637.0,54649.0,54642.0,54647.0,54650.0,54648.0,54652.0,54631.0,54642.0,54645.0,54653.0,54642.0,54650.0,54642.0,54641.0,54647.0,54650.0,54648.0,54646.0,54652.0,54646.0,54644.0,54647.0,54645.0,54649.0,54647.0,54647.0,54647.0,54637.0,54646.0,54647.0,54643.0,54638.0,54645.0,54646.0,54646.0,54649.0,54645.0,54635.0,54650.0,54641.0,54642.0,54643.0,54650.0,54647.0,54630.0,54645.0,0.00977744976551398,0.03120300751879698,1442.595112781787,38.0,36.0
1558,55101.0,55108.0,55106.0,55114.0,55106.0,55109.0,55098.0,55108.0,55109.0,55106.0,55103.0,55122.0,55115.0,55107.0,55110.0,55107.0,55109.0,55112.0,55109.0,55117.0,55115.0,55121.0,55110.0,55105.0,55112.0,55115.0,55107.0,55115.0,55112.0,55101.0,55101.0,55111.0,55107.0,55103.0,55102.0,55103.0,55105.0,55113.0,55116.0,55112.0,55113.0,55112.0,55114.0,55104.0,55113.0,55117.0,55116.0,55113.0,55117.0,55110.0,55109.0,55116.0,55112.0,55110.0,55110.0,55116.0,0.07656400526915508,0.08947368421052633,1412.5932330825553,38.0,37.0
1559,55018.0,55011.0,55013.0,55015.0,55011.0,55005.0,55012.0,55006.0,55016.0,55014.0,55004.0,55007.0,55009.0,55011.0,55010.0,55014.0,55015.0,55005.0,55012.0,55016.0,55018.0,55007.0,55015.0,55013.0,55024.0,55013.0,55018.0,55008.0,55014.0,55014.0,55003.0,55009.0,55013.0,55010.0,55014.0,55017.0,55001.0,55016.0,55020.0,55004.0,55007.0,55013.0,55015.0,55016.0,55010.0,55014.0,55021.0,55020.0,55013.0,55010.0,55011.0,55010.0,55016.0,55013.0,55015.0,55012.0,0.01999750863147709,0.041045796308954205,1207.9055707451705,38.0,38.0
1560,54698.0,54697.0,54696.0,54701.0,54700.0,54698.0,54708.0,54698.0,54698.0,54691.0,54696.0,54707.0,54700.0,54698.0,54697.0,54703.0,54698.0,54702.0,54703.0,54698.0,54704.0,54709.0,54696.0,54706.0,54700.0,54700.0,54696.0,54706.0,54696.0,54695.0,54701.0,54692.0,54699.0,54700.0,54707.0,54689.0,54704.0,54707.0,54692.0,54698.0,54702.0,54699.0,54693.0,54692.0,54703.0,54703.0,54700.0,54697.0,54698.0,54703.0,54695.0,54703.0,54714.0,54701.0,54699.0,54699.0,0.0035873900744276543,0.01780587833219411,1288.3437115514448,38.0,39.0
1561,55695.0,55691.0,55693.0,55694.0,55697.0,55697.0,55694.0,55695.0,55698.0,55698.0,55697.0,55697.0,55698.0,55698.0,55690.0,55696.0,55699.0,55693.0,55694.0,55699.0,55698.0,55698.0,55693.0,55700.0,55694.0,55700.0,55701.0,55697.0,55694.0,55695.0,55698.0,55698.0,55695.0,55695.0,55696.0,55698.0,55698.0,55695.0,55696.0,55694.0,55699.0,55698.0,55694.0,55697.0,55696.0,55694.0,55694.0,55695.0,55697.0,55693.0,55693.0,55697.0,55698.0,55691.0,55697.0,55699.0,0.0008915241902666127,0.004442925495557068,323.63978127122436,39.0,0.0
1562,55761.0,55759.0,55758.0,55763.0,55754.0,55766.0,55762.0,55758.0,55756.0,55759.0,55765.0,55763.0,55759.0,55762.0,55757.0,55757.0,55759.0,55757.0,55762.0,55759.0,55763.0,55767.0,55764.0,55761.0,55763.0,55763.0,55761.0,55763.0,55756.0,55763.0,55763.0,55767.0,55755.0,55760.0,55758.0,55761.0,55762.0,55757.0,55765.0,55759.0,55762.0,55760.0,55757.0,55761.0,55761.0,55759.0,55763.0,55760.0,55757.0,55767.0,55760.0,55757.0,55764.0,55756.0,55755.0,55768.0,0.001333910014709172,0.007587149692412852,630.5149692414276,39.0,1.0
1563,55165.0,55164.0,55165.0,55165.0,55165.0,55163.0,55163.0,55162.0,55164.0,55167.0,55167.0,55167.0,55166.0,55164.0,55170.0,55168.0,55168.0,55165.0,55167.0,55170.0,55169.0,55173.0,55168.0,55169.0,55168.0,55167.0,55165.0,55167.0,55165.0,55167.0,55168.0,55167.0,55165.0,55170.0,55165.0,55166.0,55166.0,55164.0,55168.0,55168.0,55167.0,55169.0,55166.0,55165.0,55168.0,55164.0,55166.0,55169.0,55168.0,55168.0,55165.0,55168.0,55167.0,55164.0,55170.0,55168.0,0.07593328467523996,0.03622693096377307,233.65686944640356,39.0,2.0
1564,56017.0,56014.0,56019.0,56019.0,56021.0,56017.0,56019.0,56024.0,56019.0,56019.0,56021.0,56020.0,56020.0,56018.0,56016.0,56020.0,56019.0,56019.0,56018.0,56020.0,56021.0,56023.0,56021.0,56021.0,56021.0,56021.0,56016.0,56020.0,56020.0,56017.0,56021.0,56025.0,56021.0,56020.0,56020.0,56022.0,56018.0,56016.0,56020.0,56018.0,56019.0,56018.0,56021.0,56016.0,56021.0,56021.0,56020.0,56026.0,56021.0,56022.0,56021.0,56021.0,56025.0,56020.0,56023.0,56023.0,0.1416132676520031,0.054511278195488726,263.50939849632886,39.0,3.0
1565,54583.0,54588.0,54581.0,54594.0,54583.0,54588.0,54579.0,54577.0,54592.0,54593.0,54584.0,54585.0,54587.0,54579.0,54598.0,54589.0,54581.0,54596.0,54587.0,54587.0,54598.0,54588.0,54583.0,54595.0,54582.0,54586.0,54580.0,54599.0,54589.0,54589.0,54590.0,54601.0,54591.0,54591.0,54588.0,54580.0,54573.0,54599.0,54583.0,54592.0,54586.0,54578.0,54585.0,54572.0,54593.0,54582.0,54576.0,54599.0,54588.0,54588.0,54579.0,54604.0,54583.0,54593.0,54593.0,54583.0,0.0022455411309256768,0.02091592617908408,2843.814012303762,39.0,4.0
1566,54746.0,54750.0,54753.0,54743.0,54754.0,54758.0,54756.0,54751.0,54761.0,54750.0,54761.0,54749.0,54750.0,54758.0,54753.0,54760.0,54742.0,54755.0,54753.0,54747.0,54754.0,54762.0,54752.0,54742.0,54755.0,54754.0,54764.0,54756.0,54749.0,54753.0,54751.0,54759.0,54754.0,54750.0,54754.0,54751.0,54753.0,54744.0,54754.0,54742.0,54756.0,54752.0,54761.0,54747.0,54751.0,54757.0,54753.0,54752.0,54749.0,54748.0,54750.0,54755.0,54747.0,54754.0,54755.0,54755.0,0.001542737956863216,-0.01226930963773069,1425.351230348473,39.0,5.0
1567,54865.0,54860.0,54861.0,54863.0,54857.0,54861.0,54855.0,54852.0,54870.0,54864.0,54868.0,54861.0,54873.0,54863.0,54865.0,54854.0,54854.0,54865.0,54869.0,54869.0,54861.0,54859.0,54857.0,54859.0,54867.0,54871.0,54865.0,54874.0,54858.0,54861.0,54859.0,54861.0,54860.0,54868.0,54849.0,54867.0,54857.0,54860.0,54863.0,54864.0,54865.0,54868.0,54866.0,54863.0,54859.0,54859.0,54863.0,54876.0,54869.0,54861.0,54868.0,54864.0,54863.0,54861.0,54857.0,54864.0,0.012894653452258487,0.03783321941216678,1603.0414559123437,39.0,6.0
1568,55035.0,55033.0,55038.0,55043.0,55039.0,55041.0,55049.0,55037.0,55050.0,55035.0,55039.0,55041.0,55040.0,55037.0,55037.0,55041.0,55035.0,55034.0,55054.0,55049.0,55033.0,55042.0,55045.0,55045.0,55038.0,55043.0,55037.0,55044.0,55043.0,55048.0,55045.0,55046.0,55045.0,55039.0,55037.0,55051.0,55031.0,55037.0,55038.0,55034.0,55039.0,55040.0,55045.0,55036.0,55041.0,55037.0,55044.0,55041.0,55044.0,55049.0,55032.0,55038.0,55038.0,55047.0,55047.0,55039.0,0.00598833880858618,0.024982911825017096,1515.708031442786,39.0,7.0
